LONELY_dejong_emotional_social_loneliness_scale_score,WELLNESS_subjective_happiness_scale_score,CONNECTION_social_time_friends_p7d,PSYCH_relational_needs_satisfaction_scale_7pt_total_score,WELLNESS_subjective_happiness_scale_score
6,4,5,5.35,4
4,4.25,NA,NA,4.25
3,NA,6,NA,NA
4,2.5,NA,NA,2.5
6,3,NA,NA,3
4,4.25,NA,NA,4.25
6,NA,12,NA,NA
0,NA,3,NA,NA
NA,NA,NA,NA,NA
1,NA,0,NA,NA
1,NA,4,NA,NA
1,NA,2,NA,NA
NA,NA,1,NA,NA
3,5.25,1,NA,5.25
2,5.75,1,5.25,5.75
2,NA,0,NA,NA
1,6.25,NA,NA,6.25
6,NA,2,NA,NA
3,NA,1,NA,NA
6,4.25,NA,NA,4.25
4,NA,0,NA,NA
2,5.75,NA,NA,5.75
NA,NA,NA,NA,NA
NA,5,NA,NA,5
6,NA,1,NA,NA
1,5.5,NA,NA,5.5
6,NA,9,NA,NA
NA,NA,NA,NA,NA
4,4.25,NA,NA,4.25
0,NA,3,NA,NA
6,NA,0,NA,NA
NA,NA,NA,NA,NA
6,3.5,NA,NA,3.5
2,NA,1,NA,NA
3,NA,3,NA,NA
5,NA,8,NA,NA
0,NA,3,NA,NA
6,3.75,NA,NA,3.75
5,NA,NA,NA,NA
4,3.5,NA,NA,3.5
5,NA,4,NA,NA
5,NA,1,NA,NA
1,5.75,NA,NA,5.75
3,NA,27,NA,NA
6,NA,0,NA,NA
6,3,NA,NA,3
2,NA,2,NA,NA
NA,NA,NA,NA,NA
2,NA,0,NA,NA
3,3,NA,NA,3
6,NA,1,NA,NA
3,3,NA,NA,3
6,NA,2,NA,NA
3,NA,21,NA,NA
NA,NA,NA,NA,NA
NA,NA,4,NA,NA
3,NA,33,NA,NA
0,5.75,2,5.6,5.75
0,4.25,1,NA,4.25
3,5.75,NA,NA,5.75
NA,NA,3,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,4.5,NA,NA,4.5
4,6.25,NA,NA,6.25
6,NA,0,NA,NA
0,NA,2,NA,NA
NA,NA,NA,NA,NA
3,4,NA,NA,4
6,NA,0,NA,NA
NA,NA,NA,NA,NA
1,NA,3,NA,NA
2,NA,6,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6,4,NA,NA,4
NA,NA,NA,NA,NA
NA,NA,10,NA,NA
NA,NA,NA,NA,NA
4,NA,0,NA,NA
NA,NA,2,NA,NA
NA,NA,NA,NA,NA
2,4.5,NA,NA,4.5
6,5.25,NA,NA,5.25
4,NA,2,NA,NA
6,5.75,NA,NA,5.75
NA,NA,NA,NA,NA
NA,NA,3,NA,NA
3,NA,4,NA,NA
5,4.75,NA,NA,4.75
3,5.25,NA,NA,5.25
NA,NA,NA,NA,NA
1,6.75,NA,NA,6.75
1,6.25,NA,NA,6.25
0,5.75,8,5.6,5.75
1,5.25,1,NA,5.25
